Арҽхәаԥхьыӡқәа, жәҩантәылақәа рынцәахәы Аллаҳ иузкуп.	﻿Хвала Аллаху, Господу миров,
Аманшәалареи, аразҟы бзиеи реиԥш, зегьы ирхыҵхырҭоу џьанаҭ иԥеиԥшуп.	то обретет покой (или радость; или милость), удел (или базилик) и Сад блаженства.
Зыԥсҭазааратә шәҟәы арӷьарахь ала изауз,	Если он будет одним из тех, кто по правую сторону,
«Уа арӷьарахь иҟоу, абзиара умаз уара!	то ему скажут: «Мир тебе! Ты являешься одним из тех, кто на правой стороне».
Аха мцны изыԥхьаӡаз амаҳагьацәа дреиуазар,	Если же он будет одним из заблудших, считавших лжецами посланников,
Убри изы аӡыршы иалху аишәачара ыҟоуп!	то угощением для него будет кипяток,
Насгьы уи иҵыхәтәа, џьаҳаным алажьроуп.	и он будет гореть в Аду.
Ҳәарада, ари иҵабыргыҵәҟьоуп.	Это и есть истина!
Ус анакәха, иҳаракӡоу унцәа ихьӡ рҽхәаԥхьыӡла иеиҭаҳәала.	Прославляй же имя Господа твоего Великого!
Ажәҩанқәеи адгьыли рыҟны иҟоу зегьы Аллаҳ ирҽхәаԥхьыӡ еиҭарҳәоит. Уи дҳаракӡоуп, иҟаиҵо зегьы аҟәыӷара аҵоуп.	Славит Аллаха то, что на небесах и на земле. Он — Могущественный, Мудрый.
Ажәҩанқәеи адгьыли раҳра Иара мацара итәуп. Аԥсҭазаара узҭогьы иумызхуагьы Иара иоуп. Уи, зегьы имч рықәхоит.	Ему принадлежит власть над небесами и землей. Он оживляет и умерщвляет, и Он способен на всякую вещь.
Аԥхьатәигьы аҵыхәтәантәигьы, иубарҭоугьы иубарҭамгьы иара иоуп. Уи зегьы здыруа иоуп.	Он — Первый и Последний, Высочайший и Ближайший. Он знает о всякой вещи.
Ажәҩанқәеи адгьыли фымш рыла изшаз, насгьы жәҩанқәацә иахылаз иоуп. Адгьыл иалалогьы иалҵуагьы, жәҩан аҟынтә илеиуагьы, уахь ихалогы зегьы здыруа Иара иоуп. Шәахьыҟазаалакгьы Уи шәара дшәыцуп. Аллаҳ иҟашәҵо зегьы ибоит.	Он — Тот, Кто сотворил небеса и землю за шесть дней, а затем вознесся на Трон (или утвердился на Троне). Он знает то, что проникает в землю, и то, что выходит из нее, и то, что нисходит с неба, и то, что восходит к нему. Он с вами, где бы вы ни были. Аллах видит все, что вы совершаете.
Ажәҩанқәеи адгьыли раҳра Иара мацара итәуп. Насгьы аусқәа зегьы аҵыхәтәаны иахькылсуа Иара ишҟа ауп.	Ему принадлежит власть над небесами и землей, и к Аллаху возвращаются дела.
Аҵх аҟынтә амш иациҵоит, амш аҟынтәгьы аҵх иациҵоит. Агәқәа ирҭоугьы ибзиаӡаны идыруеит.	Он увеличивает день за счет ночи и увеличивает ночь за счет дня. Он знает о том, что в груди.
Аллаҳи иԥааимбари азхашәҵа. Уи аамҭала ишәиҭақәаз рҟынтә, агьырҭ ауаагьы ирықәшәырӡ. Шәыбжьара иазхаҵаҩцәаны абри аҩыза ҟазҵаз рзы аҳамҭа дуӡӡақәа ыҟоуп.	Веруйте в Аллаха и Его Посланника и расходуйте из того, что Он дал вам в распоряжение. Тем же из вас, которые уверовали и расходовали, уготована великая награда.
Аԥааимбар, Анцәа дазхашәҵарц азы ааԥхьара шәыҭаны, ажәа шшәымиххьоугьы, Аллаҳ ишахәҭоу ала дышԥазхашәымҵо?	Что с вами? Почему вы не веруете в Аллаха, тогда как Посланник призывает вас уверовать в вашего Господа? Он уже взял с вас завет, если только вы действительно являетесь верующими.
Шәара алашьцара шәалигарц азы иуаҩԥсы (иԥааимбар)ила иаарту ажәаԥ ҟарақәа шәзылбаазгаз Иара иоуп. Ҳәарада, Аллаҳ, шәара шәзы кырӡа дҟәымшәышәуп, кырӡагьы дрыцҳашьаҩуп.	Он — Тот, Кто ниспосылает Своему рабу ясные знамения, чтобы вывести вас из мраков к свету. Воистину, Аллах сострадателен и милосерден к вам.
Ажәҩанқәеи адгьыли зегьы, аҵыхәтәан Аллаҳ ишизынхаша шыжәдыруагьы Уи имҩазы аныхра шәзеигӡои? Шәыбжьара, аиааира амш аҟынӡа змал нызхызи иеибашызи , агьырҭ ауаа зеиԥшхаӡом. Урҭ рыҩаӡара, дара рышьҭахь иныхны иеибашыз раасҭа иҳаракуп. Абас ишыҟоугьы, Аллаҳ, зегьы абзиара ишақәиршәо ала ажәа риҭеит. Аллаҳ, иааҟашәҵо зегьы ишахәҭоу ала идыруеит.	Что с вами? Почему вы не расходуете на пути Аллаха, тогда как Аллаху принадлежит наследство небес и земли. Не сравнятся люди с теми из вас, кто расходовал и сражался до победы над Меккой. Эти выше степенью, чем те, которые расходовали и сражались после этого. Но каждому из них Аллах обещал наилучшее, и Аллах ведает о том, что вы совершаете.
