Иахәаԥштәуп...	Просмотреть...
Ари асеанс азы абызшәа алшәх:	Выберите язык для этого сеанса:
Асеанс	Сеанс
Ҿыц иаҿактәуп	Запустить снова
Актив азыура	Активировать
Иҳанашьо акодировкақәа:	Доступные кодировки:
Абри апрограмма азы	Об этой программе
%s активациа азура	Активировать %s
Амхартәи	Амхарский
Арабтә (Египет)	Арабский (Египет)
Автоаилкаага	Автоопределение
Уажәтәи адокумент аҟны аорфографиатә ҽгәаҭара	Автоматически проверять орфографию в текущем документе
Азербаџьантәи	Азербайджанский
Афонтә ԥштәы	Цвет фона
Абеларустә	Белорусский
Бенгальтәи	Бенгальский
Агәылаҵақәа	Закладки
Бретонтәи	Бретонский
Болгартәи	Болгарский
Асимволқәа ркодркра:	Кодировка символов:
Ирхиатәуп	Настроить
Акаталонтәи	Каталонский
И_ԥсахтәуп	Заменить на:
Уажәтәи адокумент аҟны аорфографиа гәаҭатәуп	Проверить орфографию в текущем документе
Иаарту афаилқәа зегьы арктәуп	Закрыть все открытые файлы
Уажәтәи афаил арктәуп	Закрыть текущий файл
Ацҵа рхиатәуп	Настроить приложение
Иалкаау атекст акопиа ақәҭыхтәуп	Копировать выделенный текст
Адокумент ҿыц аԥҵатәуп	Создать новый документ
Хорваттәи	Хорватский
Ҳазҭагылоу алокаль (%s)	Текущая локаль (%s)
Изаамҭанытәу алкаара	Текущее выделение
Иалкаау атекст агәылаԥҟатәуп	Вырезать выделенный текст
Чештәи	Чешский
Даттәи	Датский
Иалкаау атекст аныхтәуп	Удалить выделенный текст
Асинтаксис арлашага ырцәатәуп	Отключить подсветку синтаксиса
Адокумент астатистика	Статистика документа
Адокументқәа	Документы
Голландтәи	Голландский
Естонтәи	Эстонский
Фарертәи	Фарерский
Афаилқәа рыхҳәааҟаҵага	Обозреватель файлов
Анаҩс_тәи ԥшаатәуп	Найти следующее
Уиаԥ_хьатәи ԥшаатәуп	Найти предыдущее
Финтәи	Финский
Афранцыз бызшәа (Франциа)	Французский (Франция)
Афранцызтә (Швеицариа)	Французский (Швейцария)
Анемецтә (Австриа)	Немецкий (Австрия)
Анемец бызшәа (Германиа)	Немецкий (Германия)
Анемецтә (Швеицариа)	Немецкий (Швейцария)
Уажәтәи адокумент азы астатистикатә информациа аарԥштәуп	Выдать статистическую информацию о текущем документе
Ацәаҳәахьы_ ииастәуп	Перейти к строке...
Иарбоу ацәаҳәахьы ииастәуп	Перейти к указанной строке
Анаҩс шәызҭааз адрес ахь ииастәуп	Перейти к следующему посещенному адресу
Ари аԥхьа шәызҭааз адрес ахь ииастәуп	Перейти к предыдущему посещенному адресу
Апанель ҵәахтәуп	Скрыть панель
Венгертәи	Венгерский
Исландтәи	Исландский
Арыцхә_и аамҭеи бжьаргылатәуп	Вставить дату и время...
Ахьаҵ	Отступ
Индонезиитәи	Индонезийский
Уажәтәи арыцхәи аамҭеи ахырхага апозициа иҭаргылатәуп	Вставить текущую дату и время в позиции курсора
Аинтерактивтә еимдара	Интерактивный поиск...
Интерактивла атекст аԥшаара	Интерактивный поиск текста
Ирландтәи	Ирландский
Италиатә	Итальянский
Акурсив	Курсив
Курдтәи	Курдский
Абызшәа:	Язык:
Латинтәи	Латинский
Латыштәи	Латышский
Ацәаҳәақәа риагара арежим	Режим переноса строк
Азхьарԥш аԥштәы	Цвет ссылки
Литовтәи	Литовский
Македонтәи	Македонский
Малагасиитәи	Малагасийский
Малаитәи	Малайский
Мальтиитәи	Мальтийский
Инагӡоу ажәа _ахала	Только полные слова
Монголтәи	Монгольский
Норвежтәи	Норвежский
Норвежтәи Ниунорск	Норвежский Нюнорск
Афаилқәа аарттәуп...	Открыть файлы...
Адрес...	Открыть адрес
Адрес аарттәуп	Открыть адрес...
Афаил аарттәуп	Открыть файл
Афаил аарттәуп иарбоу адрес ала	Открыть файл по указанному адресу
Ааигәа ахархәара змаз афаил аарттәуп	Открыть недавно использованный файл
gedit ақәныҟәага аарттәуп	Открыть руководство gedit
Адаҟьа ахышәара	Параметры страницы
Аимдаратә буфер аҟынтәи ибжьаргылатәуп	Вставить из буфера обмена
Персидтәи	Персидский
Афраза ԥшаам	Фраза не найдена
Аԥштәы алышәх	Выберите цвет
Польтәи	Польский
Апортугал бызшәа (Бразилиа)	Португальский (Бразилия)
Апотугал бызшәа (Португалиа)	Португальский (Португалия)
Акьыԥхьра ахәаԥшра	Просмотр печати
