source,target
"<link href=""text/swriter/01/04120219.xhp"" name=""Assign Styles"">Assign Styles</link>","<link href=""text/swriter/01/04120219.xhp"" name=""Назначить стиль"">Назначить стиль</link>"
Styles,Астильқәа
<<,<<
>>,>>
Row,Ацәаҳәа
"<link href=""text/swriter/01/05110000.xhp"" name=""Row"">Row</link>","<link href=""text/swriter/01/05110000.xhp"" name=""Строка"">Строка</link>"
"<link href=""text/swriter/01/05110100.xhp"" name=""Height"">Height</link>","<link href=""text/swriter/01/05110100.xhp"" name=""Высота"">Высота</link>"
"<link href=""text/swriter/01/05120400.xhp"" name=""Insert..."">Insert...</link>","<link href=""text/swriter/01/05120400.xhp"" name=""Вставить..."">Вставить...</link>"
Input Field,Поле ввода
Edit,Ариашара
Next,Анеҩстәи
Row Height,Ацәаҳәа аҳаракыра...
Fit to size,Подбор размера
Address list elements,Адресқәа рыхьӡынҵа ахәҭақәа
Add,Ацҵара
Delete,Иаԥыхтәуп
Rename,Ахьӡ ԥсахтәуп
Footnote,Азхьарԥш...
"<link href=""text/swriter/01/05040600.xhp"" name=""Footnote"">Footnote</link>","<link href=""text/swriter/01/05040600.xhp"" name=""Сноска"">Сноска</link>"
Footnote area,Область сносок
Set the height of the footnote area.,Определите высоту области сносок.
Not larger than page area,Не больше области страницы
Separator Line,Аикәшагатә цәаҳәа
Length,Аура
Weight,Ашәпара
Spacing,Аибжьаӡарақәа
Numbering,Анумерркра
Level,Аҩаӡара
Paragraph Style,Абзац астиль
Number,Аномер
<emph>Selection</emph>,<emph>Выбор</emph>
<emph>Description</emph>,<emph>Описание</emph>
"A, B, C, ...","А, Б, В, ..."
Capital letters,Заглавные буквы
"a, b, c, ...","а, б, в, ..."
Lowercase letters,Анбан хәыҷқәа
"I, II, III, ...","I, II, III, ..."
Roman numerals (upper),Римские цифры (прописные)
"i, ii, iii, ...","i, ii, iii, ..."
Roman numerals (lower),Римские цифры (строчные)
"1, 2, 3, ...","1, 2, 3, ..."
Arabic numerals,Арабские цифры
"A,... AA,... AAA,...","А,... АА,... ААА,..."
"a,... aa,... aaa,...","а, .., аа, .., ааа, ..."
Character Style,Асимволқәа рстиль
"<ahelp hid=""SW:LISTBOX:TP_OUTLINE_NUM:LB_CHARFMT"">Select the format of the numbering character.</ahelp>","<ahelp hid=""SW:LISTBOX:TP_OUTLINE_NUM:LB_CHARFMT"">Выберите формат символа нумерации.</ahelp>"
Show sublevels,Аҩаӡаракәа зегьы
Separator Before,Разделитель до
Separator After,Разделитель после
Start at,Иалагатәуп
Envelope,Аконверт...
"<link href=""text/swriter/01/04070100.xhp"" name=""Envelope"">Envelope</link>","<link href=""text/swriter/01/04070100.xhp"" name=""Конверт"">Конверт</link>"
Database field,Адыррақәа абаза аҭакы
Insert Manual Break,Вставить разрыв строки
Type,Ахкы
Line Break,Ацәаҳәа аимҟьарсҭа
You can also insert a line break by pressing Shift+Enter.,"Можно ввести разрыв строки, нажав SHIFT+ВВОД."
Column Break,Аиҵагыла аимҟьарсҭа
Page Break,Адаҟьа аимҟьарсҭа
Style,Астиль
Change page number,Адаҟьа аномер ԥсахтәуп
Page number,Адаҟьа анумер
Custom Salutation,Настраиваемое приветствие
Salutation elements,Аԥсшәаҳәара ахәҭақәа
>,>
<,<
Preview,Аԥхьатәи алаԥшхгара
(Arrow Buttons),(Кнопки со стрелками)
Space Equally,Иеицеиԥшны ашара
"<link href=""text/swriter/01/05120600.xhp"" name=""Space Equally"">Space Columns Equally</link>","<link href=""text/swriter/01/05120600.xhp"" name=""Распределить равномерно"">Распределить равномерно</link>"
Functions,Афункциақәа
"<link href=""text/swriter/01/04090003.xhp"" name=""Functions"">Functions</link>","<link href=""text/swriter/01/04090003.xhp"" name=""Функции"">Функции</link>"
Input list,Ахьӡынҵа
Input field,Поле ввода
Execute macro,Амакрос нагӡатәуп...
Placeholder,Местозаполнитель
Condition,Условие
Reference,Азхьарԥш
Characters,Асимволқәа
Value,Аҵакы
Item,Ахәҭа
Move Up,Хыхь
Move Down,Алада
Recipient,зауа
Exclude this recipient,Изауа даҟәыхтәуп
Edit Document,Адокумент ариашара
Ruler,Ариашага 
"<embedvar href=""text/swriter/guide/ruler.xhp#ruler""/>","<embedvar href=""text/swriter/guide/ruler.xhp#ruler""/>"
DocInformation,Адакумент иазку адыррақәа
Modified,Изменено
Document number,Номер документа
Created,Иаԥҵоуп
Last printed,Напечатано
Subject,Атема
Title,Ахы
Fixed content,Фиксированное содержимое
Apply,Ахархәара аҭатәуп
<bookmark_value>automatic heading formatting</bookmark_value>,<bookmark_value>автоформатирование заголовка</bookmark_value>
"<link href=""text/swriter/01/05150200.xhp"" name=""Apply"">Apply</link>","<link href=""text/swriter/01/05150200.xhp"" name=""Применить"">Применить</link>"
AutoFormat for Headings,Автоформат заголовков
empty paragraph above and below the paragraph,над и под абзацем расположены пустые абзацы.
AutoFormat for Bullets / Numbering,Автоформат нумерации/маркеров
TRUE,TRUE
FALSE,FALSE
x == 1 or x EQ 1,x == 1 или x EQ 1
"The condition is true if ""x"" is equal to 1.","Условие истинно, если ""х"" равно 1."
x != 1 or x NEQ 1,x != 1 или x NEQ 1
"The condition is true if ""x"" does not equal 1.","Условие истинно, если ""х"" не равно 1."
sinx == 0,sinx == 0
"The condition is true if ""x"" is a multiple of pi.","Условие истинно, если ""х"" кратно пи."
"x == ""ABC"" or x EQ ""ABC""","x == ""ABC"" или x EQ ""ABC"""
"x == """" or x EQ """"","x == """" или x EQ """""
or,или
!x or NOT x,!x или NOT x
User Data,Ахархәаҩ изы адыррақәа  
Variable,Зҽызыԥсахуа
user_firstname,user_firstname
First name,Ахьыӡ
user_lastname,user_lastname
Last name,Ажәла
user_initials,user_initials
Initials,Ирқаҿны (ахьӡ ажәла абхьӡы)
user_company,user_company
Company,Анаплакыра
user_street,user_street
Street,Амҩа
user_country,user_country
Country,Аҳәынҭқарра
user_zipcode,user_zipcode
Zip code,Аԥошьҭатә индекс
user_city,user_city
City,Ақалақь
user_title,user_title
Title,Звание
user_position,user_position
Position,Должность
user_tel_work,user_tel_work
Business telephone number,Номер рабочего телефона
user_tel_home,user_tel_home
Home telephone number,Номер домашнего телефона
user_fax,user_fax
Fax number,Номер факса
user_email,user_email
user_state,user_state
Example,Аҿырԥштәы
Database.Table.Company,Database.Table.Company
"Database.Table.Company NEQ """"","Database.Table.Company NEQ """""
"Database.Table.Company != """"","Database.Table.Company != """""
!Database.Table.Company,!Database.Table.Company
NOT Database.Table.Company,NOT Database.Table.Company
"Database.Table.Company EQ """"","Database.Table.Company EQ """""
"Database.Table.Company ==""""","Database.Table.Company =="""""
"Database.Table.Company !=""Sun Microsystems""","Database.Table.Company !=""Sun Microsystems"""
"Database.Table.Company NEQ ""Sun Microsystems""","Database.Table.Company NEQ ""Sun Microsystems"""
Database.Table.Firstname AND Database.Table.Name,Database.Table.Firstname AND Database.Table.Name
or type the following,или 
NOT Addressbook.Addresses.Company,NOT Addressbook.Addresses.Company
"If the COMPANY database field is empty, the condition is true and the paragraph is hidden.","Если поле базы данных COMPANY пусто, условие истинно и абзац будет скрыт."
"In the <emph>Condition </emph>box, type ""page == 1"".","В поле <emph>Условие </emph>введите ""page == 1""."
"In the <emph>Or </emph>box, type ""There are several pages"".","В поле <emph>Или </emph>введите ""Несколько страниц""."
"Click <emph>Insert</emph>, and then click <emph>Close</emph>.","Нажмите кнопку <emph>Вставить</emph>, затем нажмите кнопку <emph>Закрыть</emph>."
"In the<emph> Value</emph> box, type ""5000"".","В поле <emph>Значение </emph>введите ""5000""."
Click <emph>Insert</emph>.,Нажмите кнопку <emph>Вставить</emph>.
"In the <emph>Condition</emph> box, type ""Profit < 5000"".","В поле <emph>Условие </emph>введите ""Profit < 5000""."
"In the <emph>Or </emph>box, type ""Target is met"".","В поле <emph>Или </emph>введите ""Цель достигнута""."
"In the <emph>Condition </emph>box, type: ""Addressbook.addresses.firstname"".","В поле <emph>Условие </emph>введите: ""Addressbook.addresses.firstname""."
"In the <emph>Condition </emph>box, type: Addressbook.addresses.firstname == ""Michael""","В поле <emph>Условие </emph>введите: Addressbook.addresses.firstname == ""Михаил"""
"In the <emph>Or </emph>box, type ""Hello"".","В поле <emph>Или </emph>введите ""Привет""."
Select,Аилых
Offset,Аиҭагага
Insert Text,Вставить текст
Formula,Аҳасабтәқәҵага
Database selection,Адыррақәа рышьата алхтәуп
Left Arrow,Ахыц арма
"<image id=""img_id3155348"" src=""res/sc10618.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155348"">Icon</alt></image>","<image id=""img_id3155348"" src=""res/sc10618.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3155348"">Значок</alt></image>"
Right Arrow,Ахыц арӷьа
"<image id=""img_id3149575"" src=""res/sc10617.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149575"">Icon</alt></image>","<image id=""img_id3149575"" src=""res/sc10617.png"" width=""0.222inch"" height=""0.222inch""><alt id=""alt_id3149575"">Значок</alt></image>"
All Charts,Адаграммақәа зегьы
"<link href=""text/swriter/01/06220000.xhp"" name=""All Charts"">All Charts</link>","<link href=""text/swriter/01/06220000.xhp"" name=""Все диаграммы"">Все диаграммы</link>"
Break,Аиҟәҟьара
Page,Адаҟьақәа
Column,Аиҵаҩқәа...
Before,... аҟынӡа
With Page Style,Со стилем страницы
Page Style,Адаҟьа астил
Allow table to split across pages and columns,Разрешить разбиение таблиц на страницы и колонки
Allow row to break across pages and columns,Разрешить перенос строки по страницам или колонкам
Repeat heading,Ахы ҽазнык
The first ... rows,Первые ... строк
Text direction,Атекст ахырхарҭа
horizontal text,текст по горизонтали
vertical text,текст по вертикали
right-to-left (vertical) direction,направление справа налево (вертикально)
left-to-right direction.,направление слева направо.
Vertical alignment,Ҵәҩанҵәыла аиҟаратәра
