Сара сҭоурых.	Моя история.
Сара сҩызцәа.	Мои друзья.
Сара аҩызцәа рацәаны исымоуп, аха зегьы дреиӷьуп сҩыза Ира.	У меня много друзей, но самая лучшая подруга – Ира.
Уи лыблақәа ӷроуп, лхаҿы гьежьуп, лыхцәы шкәакәоуп, есқьынгьы аччаԥшь лҿықәуп.	У нее голубые глаза, круглое лицо, светлые волосы и открытая улыбка.
Лоура хәыҷуп, илыгуп.	Она маленькая и худенькая.
Акырҵуеит лареи сареи ҳаибадыруеишьҭеи, ашкол ҳанҭала аахыс дыздыруеит.	Я знаю ее давно, с первых школьных лет.
Аха ҳанеиҩызцәахаз ԥшьышықәса раԥхьоуп. Лареи сареи ҳазлеиԥшу рацәоуп: англыз бызшәеи аԥсихологиеи, аспорти акәашареи бзиа иаҳбоит.	Но мы стали настояҳими друзьями четыре года назад. У нас много общего: увлечение английским и психологией, спортом и танцами.
Ҳдунеихәаԥшышьа ахьеиԥшугьы маҷӡам, ауаа рҿы аҟәышра, аразра ҳаҭыр ақәаҳҵоит.	Мы во многом одинаково смотрим на мир, ценя в людях прежде всего ум, доброту.
Аԥсахреи ахәымгареи ҳзеилкааӡом.	Мы не понимаем предательства и подлости.
Акыр шықәса партак ҳаицахатәан Иреи сареи.	Много лет мы сидели за одной партой: Ира и я.
Ари зегьы шьҭа гәалашәарақәоуп.	Теперь это уже воспоминания.
Маи азы ашьыжь аҵыхәтәантәи аҵәҵәабжьы геит, исгәалашәоит аҵыхәтәантәи авальс, игәырԥшаагаз ҳаиԥырҵра абал.	Майским утром для нас в последний раз прозвенел школьный звонок, вспоминается прощальный вальс, трогателный выпускной бал.
Ира аԥсихолог изанааҭ алылхын ауниверситет ахь лдокументқәа алалҵеит .	Ира выбрала профессию психолога и сдала документы в университет.
Ашкол даара ибзианы далгеит азы аҭаларазы уадаҩрақәак лоууеит ҳәа сгәы иаанагом.	Школу она закончила на «отлично», и поэтому особых проблем с поступлением, я надеюсь, у нее не будет.
Лареи сареи ҳҵараиурҭақәа хаз-хазуп, ҳәарада, лассы-лассы ҳзеибабалаӡом.	Учиться мы будем в разных вузах и, конечно, видеться будем реже.
Аха аԥсшьара мшқәа раан лара лышҟа сцалоит.	Но по выходным я буду приходить к ней в гости.
Ира лҭаацәагьы даара ибзиоуп.	У Иры замечательные родители.
Ашкол аҿы абаҩрҵәыратә зал ахь аныҟәара ҳаҟәыҵӡом ҳәа сгәы иаанагоит, уа ҳҩызцәагьы ҳаргьы лассы-ласс ҳаибабалоит.	Я думаю, мы не оставим наших занятий в школьном тренажерном зале и часто будем встречаться со школьными друзьями.
