%PRODUCTNAME аелектронтә ԥошьҭа азынашьҭрақәа рзы  аелектронтә ԥошьҭа архиарақәа аҭахуп.\n\n Иазшәырхиарц шәҭахума уи уажәы ?	Для рассылки электронной почты %PRODUCTNAME требуется действительная учётная запись.\n\nНастроить сейчас учётную запись электронной почты?
%PRODUCTNAME ақәыргылара	Установка %PRODUCTNAME
%PRODUCTNAME хархәаҩык иаҳасаб ала шәыҽҭашәыҩҩыр ҟалоит. Аҽҭаҩҩра хатәгәаԥхаралоуп хәдықәҵара ыҟаӡам	У вас есть возможность зарегистрироваться как пользователь %PRODUCTNAME. Регистрация добровольная и без обязательств.\n\nЕсли вы зарегистрируетесь, мы можем информировать Вас о новых разработках относительно этого продукта.
\<ahelp hid=\".\" visibility=\"hidden\"\>Page N\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Страница N\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Pauses the download. Later click Resume to continue downloading.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Приостановка загрузки. Для продолжения загрузки нажмите "Продолжить".\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Print when group change\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Печатать при изменении группы.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Removes the selected entry from the Data Series list.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Удаление выбранной записи из списка "Ряд данных".\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select a basic chart type.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выберите базовый тип диаграммы.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select a color for the ambient light.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выбор цвета для рассеянного света.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select a color for the selected light source.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выбор цвета для выбранного источника света.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select a color using the color dialog.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выбор цвета с помощью палитры цветов.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select a format to display the date.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выбор формата отображения даты.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select a format to display the time.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выбор формата отображения времени.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select a scheme from the list box, or click any of the check boxes below.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выберите схему из поля списка или щелкните по любому из флажков ниже.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select a shape from the list.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выберите форму из списка.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select a sub type of the basic chart type.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выберите подтип базового типа диаграммы.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select the font for the selected text object.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выбор шрифта для выбранного текстового объекта.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select the level of detail by which a group is kept together on the same page.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выбор уровня детализации, в соответствии с которым выполняется объединение группы на одной странице.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select the sorting order.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выбор порядка сортировки.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select the type of 3D look.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Выберите тип трехмерного представления.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select to create a new group on each changed value, or on other properties.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Создание новой группы при каждом изменении значения или в зависимости от других свойств.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select to show or hide the Group Footer.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Отображение или скрытие нижнего колонтитула группы.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select to show or hide the Group Header.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Отображение или скрытие верхнего колонтитула группы.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select two or more objects and click this icon to align the objects at the bottom margin of the area.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Используется для выбора двух или более объектов и выравнивания объектов по нижнему полю области.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select two or more objects and click this icon to align the objects at the left margin of the area.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Используется для выбора двух или более объектов и выравнивания объектов по левому полю области.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select two or more objects and click this icon to align the objects at the right margin of the area.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Используется для выбора двух или более объектов и выравнивания объектов по правому полю области.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select two or more objects and click this icon to align the objects at the top margin of the area.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Используется для выбора двух или более объектов и выравнивания объектов по верхнему полю области.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select two or more objects and click this icon to resize the objects to the greatest height.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Используется для выбора двух или более объектов и изменения их высоты до максимального значения.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select two or more objects and click this icon to resize the objects to the greatest width.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Используется для выбора двух или более объектов и изменения их ширины до максимального значения.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select two or more objects and click this icon to resize the objects to the smallest height.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Используется для выбора двух или более объектов и изменения их высоты до минимального значения.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Select two or more objects and click this icon to resize the objects to the smallest width.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Используется для выбора двух или более объектов и изменения их ширины до минимального значения.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Set the data points order.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Установка порядка точек данных.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Set the number of lines for the Column and Line chart type.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Задайте количество линий для столбчатых и линейчатых диаграмм.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Set the resolution.\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Установка разрешения.\</ahelp\>
\<ahelp hid=\".\" visibility=\"hidden\"\>Set the X Position for the selected object\</ahelp\>	\<ahelp hid=\".\" visibility=\"hidden\"\>Установка позиции X для выбранного объекта.\</ahelp\>
