Ша сов къинхетаме  а‚ къинхетаме а волчу Делан  цIарца	بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ
Хьоьга /хIай Мухьаммад/ доссийна Оха жайна бакъдолчуьнца‚ ша бакъдеш шел хьалха хилла жайна‚ ша иза лашдеш а долу. Ахь хьукам де царна юккъехь Дала хьайга доссийначуьнца‚ церан синлаамашна тIаьхьа ма хIотта хьайга деана долчу бакъдолчух. Шух хIоранна Оха шарI дина‚ /динехь/ билгала некъ бина (минхIаж). Далла лиъна хиллехьара, цхьана умматах дийр дара шу‚ мухха делахь а, шу зерхьама Ша шуна деллачуьнгахь (хилийтина Цо дуккха динаш). Диканашна тIехь хьалхе яккха  къовса (вовшашца)‚ Деле ду шун массеран а дIадерзар‚ тIаккха дуьйцур ду Цо шуьга шун хилпалонаш шегахь хилларг	وَأَنزَلْنَا إِلَيْكَ الْكِتَابَ بِالْحَقِّ مُصَدِّقًا لِّمَا بَيْنَ يَدَيْهِ مِنَ الْكِتَابِ وَمُهَيْمِنًا عَلَيْهِ فَاحْكُم بَيْنَهُم بِمَا أَنزَلَ اللّهُ وَلاَ تَتَّبِعْ أَهْوَاءهُمْ عَمَّا جَاءكَ مِنَ الْحَقِّ لِكُلٍّ جَعَلْنَا مِنكُمْ شِرْعَةً وَمِنْهَاجًا وَلَوْ شَاء اللّهُ لَجَعَلَكُمْ أُمَّةً وَاحِدَةً وَلَكِن لِّيَبْلُوَكُمْ فِي مَآ آتَاكُم فَاسْتَبِقُوا الخَيْرَاتِ إِلَى الله مَرْجِعُكُمْ جَمِيعًا فَيُنَبِّئُكُم بِمَا كُنتُمْ فِيهِ تَخْتَلِفُونَ
/И доссийна Оха хьоьга омра деш/: хьукам де царна юккъехь Дала доссийначуьнца‚ церан синлаамашна тIаьхьа ма ваза‚ ларло царах, хьо цара дIатилаварах цхьадолчу Дала хьоьга доссийначух. Уьш дIаберзахь‚ хьуна хаалахь, Дела лууш хилар уьш балане лаца церан цхьадолчу къинош бахьанехь. Баккъалла а, нахах дукхаберш фасикъаш ма бу	وَأَنِ احْكُم بَيْنَهُم بِمَآ أَنزَلَ اللّهُ وَلاَ تَتَّبِعْ أَهْوَاءهُمْ وَاحْذَرْهُمْ أَن يَفْتِنُوكَ عَن بَعْضِ مَا أَنزَلَ اللّهُ إِلَيْكَ فَإِن تَوَلَّوْاْ فَاعْلَمْ أَنَّمَا يُرِيدُ اللّهُ أَن يُصِيبَهُم بِبَعْضِ ذُنُوبِهِمْ وَإِنَّ كَثِيرًا مِّنَ النَّاسِ لَفَاسِقُونَ
ЖехIаллин хьукамна тIетийжа уьш ткъа? Мила ву ткъа Делал хьукам хаза деш тешаш долчу къомана?	أَفَحُكْمَ الْجَاهِلِيَّةِ يَبْغُونَ وَمَنْ أَحْسَنُ مِنَ اللّهِ حُكْمًا لِّقَوْمٍ يُوقِنُونَ
ХIай ийман диллинарш! Аш ма леца жуьгтий а‚ насараш а шайна доттагIий. Царах цхьаберш доттагIий бу вукхарна. Шух царах шена доттагIий лецнарг, – баккъалла а, и царах ву. Баккъалла а, Дала ца нисдо зуламе къам	َا أَيُّهَا الَّذِينَ آمَنُواْ لاَ تَتَّخِذُواْ الْيَهُودَ وَالنَّصَارَى أَوْلِيَاء بَعْضُهُمْ أَوْلِيَاء بَعْضٍ وَمَن يَتَوَلَّهُم مِّنكُمْ فَإِنَّهُ مِنْهُمْ إِنَّ اللّهَ لاَ يَهْدِي الْقَوْمَ الظَّالِمِينَ
Хьуна гуш бу и шайн дегнашкахь цамгар ерш (фасикъаш я мунепикъаш) сихлуш цаьргахь‚ олуш: 'Тхо кхоьруш ду тхуна /хIара/ гIуллакх цхьана балане дхьовза'. Дала тарло Шегара толам бала‚ я цхьа гIуллакх дан – тIаккха уьш ма буьсу шаьш хьулдинчух шайлахь дохкобевлла	فَتَرَى الَّذِينَ فِي قُلُوبِهِم مَّرَضٌ يُسَارِعُونَ فِيهِمْ يَقُولُونَ نَخْشَى أَن تُصِيبَنَا دَآئِرَةٌ فَعَسَى اللّهُ أَن يَأْتِيَ بِالْفَتْحِ أَوْ أَمْرٍ مِّنْ عِندِهِ فَيُصْبِحُواْ عَلَى مَا أَسَرُّواْ فِي أَنْفُسِهِمْ نَادِمِينَ
Ийман диллинчара олу /жуьгташка, мунепикъийн хьолах цецбовлий/: хIорш бу и шайн чIогIа дуйнаш Делаца биънарш, шаьш баккъалла а, шуьца ду‚ бохуш?  Йоьхна церан Iамалш. Эшнарш хили уьш	وَيَقُولُ الَّذِينَ آمَنُواْ أَهَؤُلاء الَّذِينَ أَقْسَمُواْ بِاللّهِ جَهْدَ أَيْمَانِهِمْ إِنَّهُمْ لَمَعَكُمْ حَبِطَتْ أَعْمَالُهُمْ فَأَصْبَحُواْ خَاسِرِينَ
ХIай ийман диллинарш! Шух милла шен (ислам) динера дIаваьлча – тIаккха доуьйтур ду Дала цхьа къам‚ Цунна (Далла) уьш безаш‚ царна Иза везаш‚ муъмин нахана шаьш атта а болуш‚ керстанашна хала а болуш‚ Делан новкъахь къуьйсуш‚ тIехтохам бечун тIехтохамах ца кхоьруш. И Делан дозалла ду‚ Шена луучунна и доуьйту Цо. И Дела шорто йолуш а ву‚ Iилма долуш а ву	يَا *أَيُّهَا الَّذِينَ آمَنُواْ مَن يَرْتَدَّ مِنكُمْ عَن دِينِهِ فَسَوْفَ يَأْتِي اللّهُ بِقَوْمٍ يُحِبُّهُمْ وَيُحِبُّونَهُ أَذِلَّةٍ عَلَى الْمُؤْمِنِينَ أَعِزَّةٍ عَلَى الْكَافِرِينَ يُجَاهِدُونَ فِي سَبِيلِ اللّهِ وَلاَ يَخَافُونَ لَوْمَةَ لآئِمٍ ذَلِكَ فَضْلُ اللّهِ يُؤْتِيهِ مَن يَشَاء وَاللّهُ وَاسِعٌ عَلِيمٌ
Баккъалла а, шун доттагI Дела ву‚ Цуьнан элча ву‚ ийман диллинарш а бу‚ шаьш ламаз хIоттадеш болу‚ шаьш закат а луш болу‚ шаьш/Цунна/ гуорахьттуш  а болу	إِنَّمَا وَلِيُّكُمُ اللّهُ وَرَسُولُهُ وَالَّذِينَ آمَنُواْ الَّذِينَ يُقِيمُونَ الصَّلاَةَ وَيُؤْتُونَ الزَّكَاةَ وَهُمْ رَاكِعُونَ
Дела а‚ Цуьнан элча а, ийман диллинарш а доттагIий лаьцнарг – баккъалла а, Делан тобанан /нах бу уьш/ - уьш бу толам боккхур берш	وَمَن يَتَوَلَّ اللّهَ وَرَسُولَهُ وَالَّذِينَ آمَنُواْ فَإِنَّ حِزْبَ اللّهِ هُمُ الْغَالِبُونَ
ХIай ийман диллинарш! Аш ма леца, шун дин беламе а‚ ловзаре а даьккхина, шул хьалха шайга жайна даийтинчарах берш а‚ керстанаш а доттагIий. Шу Делах кхера, шаьш ийман диллина делахь	يَا أَيُّهَا الَّذِينَ آمَنُواْ لاَ تَتَّخِذُواْ الَّذِينَ اتَّخَذُواْ دِينَكُمْ هُزُوًا وَلَعِبًا مِّنَ الَّذِينَ أُوتُواْ الْكِتَابَ مِن قَبْلِكُمْ وَالْكُفَّارَ أَوْلِيَاء وَاتَّقُواْ اللّهَ إِن كُنتُم مُّؤْمِنِينَ
Аш ламазе кхайкхича, и беламе а‚ ловзаре а оьцу цара. И ду уьш хиларна, шаьш ойла ца еш долу къам	وَإِذَا نَادَيْتُمْ إِلَى الصَّلاَةِ اتَّخَذُوهَا هُزُوًا وَلَعِبًا ذَلِكَ بِأَنَّهُمْ قَوْمٌ لاَّ يَعْقِلُونَ
Ахь āла: 'ХIай жайнан охIла! Аш бекхам бо тхуна деккъа Оха ийман диллина хиларна Деле‚ тхайга доссийначуьнга а‚ хьалха доссийначуьнга а‚ шух дукхахберш фасикъаш хиларна а'	قُلْ يَا أَهْلَ الْكِتَابِ هَلْ تَنقِمُونَ مِنَّا إِلاَّ أَنْ آمَنَّا بِاللّهِ وَمَا أُنزِلَ إِلَيْنَا وَمَا أُنزِلَ مِن قَبْلُ وَأَنَّ أَكْثَرَكُمْ فَاسِقُونَ
Ахь āла: 'Ас дIахоуьйтий шуьга цул а вониг бекхам хиларца Делан гергахьара? Уьш бу Дала шайна неIалт аьлларш‚ И шайна оьгIазвахнарш‚ Цо шайх маймалш а‚ хьакхарчий а йинарш а‚ тIагIутана шаьш Iибадат динарш а. Уьш бу вонаш (шайна хир йолчу) меттигца‚ уггар тилабелла берш нийсачу некъах'	قُلْ هَلْ أُنَبِّئُكُم بِشَرٍّ مِّن ذَلِكَ مَثُوبَةً عِندَ اللّهِ مَن لَّعَنَهُ اللّهُ وَغَضِبَ عَلَيْهِ وَجَعَلَ مِنْهُمُ الْقِرَدَةَ وَالْخَنَازِيرَ وَعَبَدَ الطَّاغُوتَ أُوْلَئِكَ شَرٌّ مَّكَاناً وَأَضَلُّ عَن سَوَاء السَّبِيلِ
Шу долчу баьхкича /жуьгтийн мунепикъаш/, цара олу: 'Тхо ийман диллина ду'‚ уьш-м /шу долчу/ баьхкина ма бара керстаналлица‚ – уьш /шу долчуьра/ ара ма бевли цуьнца. И Дела дика хууш ву-кх цара хьулдеш хилларг	وَإِذَا جَآؤُوكُمْ قَالُوَاْ آمَنَّا وَقَد دَّخَلُواْ بِالْكُفْرِ وَهُمْ قَدْ خَرَجُواْ بِهِ وَاللّهُ أَعْلَمُ بِمَا كَانُواْ يَكْتُمُونَ
Хьуна го царах дукхаберш сихлуш къа дарехь а‚ мостагIалла лелорехь а‚ хьарам хIума даарехь а. Ма вон хIума ду-кх цара деш хилларг!	وَتَرَى كَثِيرًا مِّنْهُمْ يُسَارِعُونَ فِي الإِثْمِ وَالْعُدْوَانِ وَأَكْلِهِمُ السُّحْتَ لَبِئْسَ مَا كَانُواْ يَعْمَلُونَ
Уьш духа хIунда ца туху раббанаша а‚ ахьбараша а къахиларан дашах а‚ хьарам мел дерг а цара даарх а? Ма вон ду цара деш хилларг!	لَوْلاَ يَنْهَاهُمُ الرَّبَّانِيُّونَ وَالأَحْبَارُ عَن قَوْلِهِمُ الإِثْمَ وَأَكْلِهِمُ السُّحْتَ لَبِئْسَ مَا كَانُواْ يَصْنَعُونَ
Жуьгташа элира: 'Делан куьг дихкина ду'. Куьйгаш дихкина-кх церан. НеIалт аьлла царна шаьш дуьйцург бахьанехь. Цуьнан (Делан) ши куьг даржийна ду‚ Шена луучунна рицкъ луш ву И. Царах дукхаберш совбохур бу хьан Кхиош-кхобучуьнгара хьоьга доссийначо /Делан / дозанех бовларца а, керстаналлица а. Царна юкъа мостагIалла а‚ оьгIазло а кхоьссина Оха къематде кхаччалц. Цара цIе мел латий тIамна‚ Дала яйира и. Лаьттахь боьха дерг даржадо цара. Далла безац боьханиг деш берш	وَقَالَتِ الْيَهُودُ يَدُ اللّهِ مَغْلُولَةٌ غُلَّتْ أَيْدِيهِمْ وَلُعِنُواْ بِمَا قَالُواْ بَلْ يَدَاهُ مَبْسُوطَتَانِ يُنفِقُ كَيْفَ يَشَاء وَلَيَزِيدَنَّ كَثِيرًا مِّنْهُم مَّا أُنزِلَ إِلَيْكَ مِن رَّبِّكَ طُغْيَانًا وَكُفْرًا وَأَلْقَيْنَا بَيْنَهُمُ الْعَدَاوَةَ وَالْبَغْضَاء إِلَى يَوْمِ الْقِيَامَةِ كُلَّمَا أَوْقَدُواْ نَارًا لِّلْحَرْبِ أَطْفَأَهَا اللّهُ وَيَسْعَوْنَ فِي الأَرْضِ فَسَادًا وَاللّهُ لاَ يُحِبُّ الْمُفْسِدِينَ
