Моя история	Сара сҭоурых
Мы во многом одинаково смотрим на мир, ценя в людях прежде всего ум, доброту	Ҳдунеихәаԥшышьа ахьеиԥшугьы маҷӡам, ауаа рҿы аҟәышра, аразра ҳаҭыр ақәаҳҵоит.
Мы не понимаем предательства и подлости	Аԥсахреи ахәымгареи ҳзеилкааӡом.
Много лет мы сидели за одной партой: ира и я	Акыр шықәса партак ҳаицахатәан иреи сареи.
Теперь это уже воспоминания	Ари зегьы шьҭа гәалашәарақәоуп.
Майским утром для нас в последний раз прозвенел школьный звонок, вспоминается прощальный вальс, трогателный выпускной бал	Маи азы ашьыжь аҵыхәтәантәи аҵәҵәабжьы геит, исгәалашәоит аҵыхәтәантәи авальс, игәырԥшаагаз ҳаиԥырҵра абал.
Ира выбрала профессию психолога и сдала документы в университет	Ира аԥсихолог изанааҭ алылхын ауниверситет ахь лдокументқәа алалҵеит .
Школу она закончила на «отлично», и поэтому особых проблем с поступлением, я надеюсь, у нее не будет	Ашкол даара ибзианы далгеит азы аҭаларазы уадаҩрақәак лоууеит ҳәа сгәы иаанагом.
Учиться мы будем в разных вузах и, конечно, видеться будем реже	Лареи сареи ҳҵараиурҭақәа хаз-хазуп, ҳәарада, лассы-лассы ҳзеибабалаӡом.
Но по выходным я буду приходить к ней в гости	Аха аԥсшьара мшқәа раан лара лышҟа сцалоит.
У иры замечательные родители	Ира лҭаацәагьы даара ибзиоуп.
Я думаю, мы не оставим наших занятий в школьном тренажерном зале и часто будем встречаться со школьными друзьями	Ашкол аҿы абаҩрҵәыратә зал ахь аныҟәара ҳаҟәыҵӡом ҳәа сгәы иаанагоит, уа ҳҩызцәагьы ҳаргьы лассы-ласс ҳаибабалоит.
У меня также есть подруга по переписке	Иара убас даҽа ҩызакгьы дсымоуп, лареи сареи ашәҟәы ҳабжьоуп.
Ее зовут вика	Вика лыхьӡуп лара.
Она живет в москве	Москва дынхоит.
Вика – модель	Вика – дмодельуп.
У нее овальное лицо, зеленые глаза, прямой нос и полные красные губы	Лхы-ҿы аазыхәхәаны, лылақәа иаҵәаны, лԥынҵа азиашаны, лқьышәқәа ҟаԥшьуп, иҟәазуп.
